ID,Gender,Age,Politics,Birthplace Info,Education,Nationality,Marital Status,Household Form,Children Info,Area,Topics,Votes
208244,2,28,2,1,4,1,2,1,2,2,"['1', '2', '6']","['04', '22', '23', '24', '25', '28', '29']"
16231,1,65,6,1,3,2,1,2,1,0,"['7', '8', '9']","['10', '12', '20', '21', '22']"
183320,2,36,1,2,4,1,1,2,1,6,"['1', '4', '6']","['04', '10', '12', '13', '17', '18']"
186094,2,64,6,2,4,1,2,2,1,8,"['1', '6', '7']","['03', '19', '22', '23', '25', '29']"
4290,1,77,8,2,2,1,1,2,1,0,"['3', '4', '6']","['01', '03', '04', '17', '29']"
53081707,2,43,4,2,4,2,2,3,1,4,"['1', '2', '3']","['07', '11', '21', '25', '31']"
141539,1,47,3,2,4,1,1,3,1,5,"['1', '6', '8']","['04', '11', '12', '16', '25', '29', '31', '32']"
205950,2,28,3,2,4,1,2,2,2,4,"['1', '6', '9']","['01', '18', '31', '32']"
38907,1,75,3,2,4,1,1,2,1,2,"['3', '4', '6']","['02', '03', '14', '29']"
3323,1,58,7,2,2,1,2,1,2,7,"['3', '7', '8']","['01', '08', '30', '31']"
33038,2,64,2,1,4,1,1,3,2,8,"['4', '6', '7']","['21', '22', '24', '30']"
22829,2,63,3,2,4,1,1,2,1,4,"['3', '4', '7']","['07', '15', '31']"
8381,1,68,7,2,2,1,2,1,2,8,"['2', '3', '7']","['08', '32']"
42419,1,28,5,2,4,1,2,2,2,0,"['1', '2', '7']","['05', '15', '21']"
122217,1,71,0,2,4,1,1,2,1,5,"['2', '5', '6']","['01', '02', '27', '31', '32']"
95352,1,47,4,2,2,1,1,3,1,0,"['1', '2', '6']","['06', '11', '15', '21', '32']"
157558,2,42,2,2,4,1,2,2,2,4,"['2', '6', '7']","['01', '11', '12', '13', '15', '21', '25', '29', '32']"
141966,2,73,6,2,3,1,1,2,1,1,"['1', '2', '6']","['08', '32']"
50536492,2,25,2,2,4,1,2,2,2,2,"['6', '7', '8']","['04', '12', '14', '16', '21', '24', '25', '28', '29']"
130674,1,57,7,2,4,1,1,3,1,7,"['1', '3', '7']","['01', '03', '06', '12', '19', '22', '25', '28', '30', '31']"
197166,2,39,2,1,4,1,1,3,1,2,"['1', '4', '9']","['12', '13', '15', '29', '31']"
203993,1,35,0,2,4,1,2,1,2,9,"['1', '3', '4']","['10', '21', '22']"
5524,2,69,4,1,4,1,2,2,1,2,"['2', '3', '5']","['12', '13', '14', '17', '21', '22']"
125014,2,60,3,1,4,1,1,3,1,4,"['1', '2', '6']","['04', '11', '26']"
4011729,1,77,7,2,4,1,1,2,1,6,"['6', '7', '9']","['02', '17', '20']"
113737,1,56,2,2,4,2,2,1,2,5,"['1', '5', '7']","['14', '15', '32']"
103851,1,59,7,2,4,1,2,2,1,10,"['1', '5', '6']","['24', '25', '29']"
128480,1,42,4,2,3,1,2,3,1,4,"['1', '4', '6']","['07', '15', '21', '32']"
32468,2,54,1,2,2,1,1,3,1,3,"['1', '2', '6']","['04', '13', '32']"
6117,1,49,5,2,2,1,2,3,1,8,"['1', '2', '3']","['01', '11', '14', '31']"
10675,1,76,9,2,2,1,1,2,1,9,"['4', '7', '8']","['06', '11', '17']"
170176,2,46,5,1,3,1,1,3,1,8,"['1', '6', '9']","['04', '05', '06', '21', '24', '28', '29', '31', '32', '33']"
143375,2,47,3,2,4,1,2,2,2,2,"['1', '3', '4']","['03', '12', '16', '19', '21', '24']"
50525298,1,38,0,2,4,1,1,3,1,5,"['1', '3', '7']","['01', '16', '31', '32']"
188103,2,34,1,2,4,1,1,3,1,5,"['1', '4', '7']","['01', '31', '32']"
23087,1,63,2,2,4,1,1,2,2,3,"['2', '6', '7']","['04', '30', '32']"
25146,1,36,3,2,4,1,1,3,1,10,"['4', '5', '6']","['21', '23', '32']"
131257,2,43,3,2,4,1,1,3,1,0,"['3', '5', '6']","['04', '15']"
4104344,1,61,2,2,4,1,1,2,1,6,"['1', '2', '6']","['04', '12', '28']"
36573,2,60,4,2,4,1,2,2,1,10,"['1', '4', '7']","['04', '12', '13', '15']"
4016982,1,58,4,2,4,1,1,2,1,6,"['1', '6', '8']","['06', '11', '31']"
50531462,1,30,3,2,4,1,2,1,2,0,"['1', '5', '8']","['01', '02', '03', '04', '08', '12', '14', '21', '29', '32']"
208918,2,28,0,2,4,1,2,2,2,1,"['3', '5', '6']","['08', '10', '12', '21']"
163579,2,45,3,2,4,2,2,3,1,3,"['1', '4', '6']","['04', '15', '21', '22', '23']"
40083,2,67,3,1,4,1,2,1,1,10,"['1', '4', '5']","['03', '08', '15']"
146566,1,47,7,2,4,1,2,1,2,4,"['2', '7', '9']","['02', '04', '06', '14', '29']"
50525223,1,54,2,2,4,1,2,3,1,8,"['2', '3', '6']","['04', '11', '13', '21', '24', '25', '28', '29', '32']"
33778,2,67,3,2,4,1,1,2,1,3,"['2', '3', '4']","['14', '15', '16', '27', '32']"
194122,2,40,2,1,4,1,1,3,1,4,"['1', '4', '9']","['04', '07', '11', '12', '21', '25']"
23928,1,57,2,2,4,1,1,2,2,3,"['4', '6', '7']","['08', '14', '22', '24']"
102579,2,49,2,2,4,1,1,2,2,3,"['4', '5', '9']","['04', '06', '21']"
36488,1,56,4,2,4,1,1,3,1,2,"['1', '5', '6']","['04', '11', '12']"
25948,2,65,6,1,3,1,1,2,1,9,"['3', '6', '7']","['04', '14', '24']"
25947,1,66,5,2,4,1,1,2,1,9,"['3', '6', '7']","['04', '14', '22', '24']"
50531287,1,56,8,2,2,1,1,2,1,0,"['4', '7', '9']","['01', '03', '17']"
50540644,2,29,1,2,4,1,2,2,2,5,"['1', '4', '6']","['02', '09', '10', '11', '12', '15', '24', '25', '28']"
42108,2,49,0,2,4,1,2,1,1,6,"['1', '6', '9']","['03', '21', '29']"
53083619,2,34,3,2,4,2,2,1,2,7,"['3', '4', '5']","['18', '21', '24']"
195210,1,32,3,2,2,1,1,3,1,0,"['1', '4', '8']","['04', '07', '29', '31']"
168886,1,37,3,2,4,1,2,1,2,7,"['1', '4', '6']","['04', '10', '29']"
200218,1,48,7,2,4,1,1,2,2,0,"['4', '8', '9']","['04', '11', '30']"
22688,2,59,3,2,4,1,1,2,1,2,"['1', '4', '5']","['04', '14', '21']"
204864,2,30,5,2,4,1,2,1,2,9,"['2', '3', '5']","['10', '17', '30']"
94117,2,59,2,2,4,1,2,2,1,2,"['3', '6', '7']","['12', '24', '29']"
7199,2,54,6,2,2,1,2,1,2,8,"['2', '6', '7']","['04', '25', '32']"
167538,1,57,4,2,4,1,1,2,2,7,"['3', '5', '7']","['08', '22', '30', '31', '33']"
185474,2,45,1,2,4,1,1,3,1,4,"['1', '4', '6']","['01', '10', '13']"
37875,2,56,4,2,4,1,1,2,2,3,"['1', '4', '6']","['03', '11', '15']"
115164,1,57,5,2,2,2,1,3,1,4,"['1', '4', '6']","['01', '03', '28']"
198182,2,38,2,2,4,2,1,3,1,8,"['2', '5', '6']","['04', '05', '14', '16', '21', '24', '25', '28', '29', '30']"
154141,1,36,4,2,4,1,2,3,1,2,"['1', '2', '5']","['01', '02', '31']"
53083520,2,50,1,2,4,2,2,2,2,5,"['4', '6', '9']","['01', '02', '04', '21', '30']"
198981,1,40,6,2,4,1,2,2,2,4,"['1', '4', '5']","['10', '21', '26', '32']"
8631,1,62,4,2,4,1,1,2,1,2,"['3', '5', '7']","['10', '14', '15', '21']"
149132,1,15,4,2,1,1,2,3,2,2,"['2', '3', '4']","['03', '04', '14', '21']"
35567,2,64,0,2,4,1,2,2,1,4,"['2', '3', '7']","['14', '21', '29']"
53084239,1,38,5,2,4,2,1,2,2,0,"['2', '3', '5']","['04', '08', '16', '20', '22', '24', '25', '29', '30', '33']"
97239,1,82,8,2,2,1,2,1,1,5,"['7', '8', '9']","['01', '04', '27']"
50540630,1,26,10,1,4,1,2,2,2,5,"['2', '7', '8']","['01', '02', '04', '29', '31', '32']"
135857,1,42,2,2,2,1,1,3,1,0,"['1', '3', '8']","['05', '21', '30']"
25843,1,36,8,2,4,1,2,2,2,0,"['1', '3', '7']","['11', '16', '17', '21', '24', '25', '27', '29', '30', '31']"
53081232,1,33,3,2,4,1,2,3,1,3,"['1', '6', '8']","['04', '11', '21', '25', '29']"
37135,2,62,3,2,2,1,1,2,2,4,"['4', '5', '6']","['07', '22', '26']"
53083389,1,28,5,2,4,1,2,2,2,7,"['1', '7', '9']","['02', '03', '09', '14', '19', '21', '24', '25']"
106625,2,64,2,2,4,1,2,1,2,5,"['2', '4', '7']","['01', '15', '32']"
185932,1,38,2,1,4,1,2,2,2,1,"['1', '4', '6']","['21', '22', '32']"
170571,2,35,7,2,2,1,1,3,1,0,"['2', '4', '8']","['07', '18', '19', '21', '30']"
126158,2,66,2,2,4,1,2,1,1,9,"['2', '5', '6']","['04', '14', '15', '22', '23', '32']"
12116,1,53,10,2,3,1,2,1,1,2,"['7', '8', '9']","['05', '07', '17']"
38944,1,59,4,2,4,1,1,2,1,2,"['1', '5', '6']","['03', '04', '11', '21', '24', '29', '30', '31', '32']"
50538556,1,58,8,2,2,1,1,2,2,6,"['2', '4', '6']",['03']
37699,2,58,0,2,4,1,2,2,1,3,"['4', '7', '9']","['03', '17', '19']"
